tpr,fpr,t
0.2425464883971108,0.3142368306394194,0.17784414385017938
0.2425464883971108,0.31482130901903277,0.17755911694101212
0.24270016904871677,0.31482130901903277,0.1775573296731255
0.24270016904871677,0.3151507422875421,0.1773489604803378
0.24293069002612572,0.3151507422875421,0.1773456004143967
0.24293069002612572,0.31516136916717147,0.17734253318347096
0.2430459505148302,0.31516136916717147,0.17732518850467996
0.2430459505148302,0.3165853710375023,0.17637630587807915
0.24327647149223913,0.3165853710375023,0.17637075112175188
0.24327647149223913,0.31723361069489164,0.1759669101374498
0.24358383279545107,0.31723361069489164,0.17594341044997705
0.24358383279545107,0.317499282685625,0.17574869343927438
0.24369909328415554,0.317499282685625,0.17574500771948412
0.24369909328415554,0.3184450749726358,0.17507565682549683
0.24400645458736744,0.3184450749726358,0.1750649741357586
0.24400645458736744,0.3185832244078171,0.1749294711575725
0.2442369755647764,0.3185832244078171,0.17492504366274003
0.2442369755647764,0.31909331463002516,0.17459128370930074
0.24435223605348086,0.31909331463002516,0.1745897562024082
0.24435223605348086,0.3192527178244652,0.17451156896541165
0.24450591670508684,0.3192527178244652,0.17451000957898463
0.24450591670508684,0.3197415542874146,0.17413069050909383
0.24473643768249578,0.3197415542874146,0.1740824535508639
0.24473643768249578,0.32111242175959875,0.17303881795073245
0.24489011833410174,0.32111242175959875,0.17302897331791406
0.24489011833410174,0.32179254205587615,0.1725516150547604
0.24512063931151068,0.32179254205587615,0.17254833755601373
0.24512063931151068,0.3225257967503002,0.17192711907239489
0.24523589980021515,0.3225257967503002,0.17190686731307975
0.24523589980021515,0.3226426924262229,0.1718405756363572
0.2454664207776241,0.3226426924262229,0.17183114739284183
0.2454664207776241,0.3229933794539909,0.17153695664152105
0.24562010142923005,0.3229933794539909,0.17153202512031304
0.24562010142923005,0.3234290815187936,0.17131525499819827
0.24592746273244198,0.3234290815187936,0.17130824504612696
0.24592746273244198,0.3237053803891563,0.17114295947486385
0.24623482403565392,0.3237053803891563,0.1711427556003457
0.24623482403565392,0.3246405457965378,0.17052183864646145
0.2463116643614569,0.3246405457965378,0.17052115528082704
0.2463116643614569,0.3251293822594871,0.1702235196593711
0.24654218533886585,0.3251293822594871,0.17021449358034021
0.24654218533886585,0.3262239508613086,0.16961856973568704
0.2467727063162748,0.3262239508613086,0.16961611738164317
0.2467727063162748,0.32671278732425796,0.16928066008037074
0.24688796680497926,0.32671278732425796,0.1692753153431169
0.24688796680497926,0.327127235629802,0.1690270906861928
0.24700322729368374,0.327127235629802,0.16902450766517638
0.24700322729368374,0.3277223408890447,0.1686245989636108
0.2471569079452897,0.3277223408890447,0.1686214154702474
0.2471569079452897,0.3280517741575541,0.16839696877803045
0.24731058859689564,0.3280517741575541,0.16838607481273854
0.24731058859689564,0.3286575062964262,0.16793198882125074
0.24754110957430459,0.3286575062964262,0.16792254984231103
0.24754110957430459,0.3290932083612289,0.1676600095290487
0.24784847087751652,0.3290932083612289,0.16765823947107314
0.24784847087751652,0.3293376265927036,0.16743819322933856
0.24807899185492546,0.3293376265927036,0.16743666433480203
0.24807899185492546,0.3305172102315597,0.1667015841325345
0.24819425234362993,0.3305172102315597,0.16669392599614175
0.24819425234362993,0.3307403747037757,0.1665364607854798
0.24850161364684187,0.3307403747037757,0.1665359337902047
0.24850161364684187,0.3321112421759599,0.16577656011369357
0.24865529429844782,0.3321112421759599,0.1657762859704544
0.24865529429844782,0.3323131528889172,0.1656834459976888
0.24888581527585676,0.3323131528889172,0.16567157023636275
0.24888581527585676,0.3328338699907546,0.16532341701945857
0.2491163362532657,0.3328338699907546,0.16529210474143027
0.2491163362532657,0.33451291697218943,0.16416514106820643
0.24923159674197018,0.33451291697218943,0.16416155619472755
0.24923159674197018,0.33462981264811215,0.16411251849902161
0.2495389580451821,0.33462981264811215,0.16411119433235904
0.2495389580451821,0.3348423502406988,0.1639136579956867
0.24969263869678807,0.3348423502406988,0.16390781252630512
0.24969263869678807,0.33550121677771755,0.1634653218784873
0.249923159674197,0.33550121677771755,0.16346064364178273
0.249923159674197,0.33593691884252025,0.1631851209359445
0.250153680651606,0.33593691884252025,0.1631817703620544
0.250153680651606,0.33629823274991766,0.1630024263987046
0.2503073613032119,0.33629823274991766,0.16299480554069642
0.2503073613032119,0.3367445616943497,0.16268342972619484
0.2504226217919164,0.3367445616943497,0.16268225276254575
0.2504226217919164,0.3377328614998778,0.16211445831572924
0.25072998309512834,0.3377328614998778,0.1621126487147412
0.25072998309512834,0.3384979968331899,0.16168186394527678
0.2508452435838328,0.3384979968331899,0.16167709313546186
0.2508452435838328,0.3390612214535446,0.16130239839181532
0.25107576456124175,0.3390612214535446,0.16128888314816478
0.25107576456124175,0.3393375203239073,0.16110714239225302
0.2513062855386507,0.3393375203239073,0.16110500783991083
0.2513062855386507,0.3400814018979607,0.16066459177211226
0.2516136468418626,0.3400814018979607,0.16066350465913756
0.2516136468418626,0.34063399963868607,0.1603692434069019
0.25169048716766557,0.34063399963868607,0.1603688483512078
0.25169048716766557,0.34086779099053144,0.16027625905983953
0.25184416781927155,0.34086779099053144,0.16027520420365304
0.25184416781927155,0.3420898821479049,0.1595899081135759
0.25199784847087753,0.3420898821479049,0.15958695321706423
0.25199784847087753,0.34268498740714765,0.15924264876820893
0.252113108959582,0.34268498740714765,0.15923945337606438
0.252113108959582,0.3428975249997343,0.15916837554904517
0.25234362993699094,0.3428975249997343,0.15915542530818472
0.25234362993699094,0.3430569281941743,0.15906830441653363
0.2525741509143999,0.3430569281941743,0.15906117832333586
0.2525741509143999,0.34527794603670525,0.15786381806341634
0.2528815122176118,0.34527794603670525,0.15786327876705072
0.2528815122176118,0.3457030212218786,0.1576160022028
0.2530351928692178,0.3457030212218786,0.1576157707192604
0.2530351928692178,0.34629812648112135,0.15731352416010747
0.2533425541724297,0.34629812648112135,0.15731171589179768
0.2533425541724297,0.3466594403885187,0.1570614419693179
0.2535730751498386,0.3466594403885187,0.15705942941661746
0.2535730751498386,0.3466806941477774,0.15705036135383496
0.25380359612724757,0.3466806941477774,0.15704965709890012
0.25380359612724757,0.3469569930181401,0.1568561309295716
0.25391885661595204,0.3469569930181401,0.15684758195335588
0.25391885661595204,0.3472014112496148,0.1566910114085172
0.2540341171046565,0.3472014112496148,0.1566903818375673
0.2540341171046565,0.3491992646199297,0.155417297602946
0.2541877977562625,0.3491992646199297,0.155416641665278
0.2541877977562625,0.3496455935643617,0.15508569587506318
0.25441831873367143,0.3496455935643617,0.15506983323494966
0.25441831873367143,0.34976248924028436,0.15501962896681112
0.2545719993852774,0.34976248924028436,0.15501485032314802
0.2545719993852774,0.34978374299954307,0.1550107878079238
0.25480252036268636,0.34978374299954307,0.15500007681456238
0.25480252036268636,0.3508251772032178,0.1545024744676162
0.25491778085139083,0.3508251772032178,0.1545004515309256
0.25491778085139083,0.3515478050180126,0.15405866918105854
0.25522514215460274,0.3515478050180126,0.1540525166109905
0.25522514215460274,0.35206852211984996,0.15378595281729687
0.25553250345781464,0.35206852211984996,0.15377882467112453
0.25553250345781464,0.35318434448093006,0.15312566086942275
0.2557630244352236,0.35318434448093006,0.15312110923522454
0.2557630244352236,0.3534712702309221,0.15297960840023908
